ts,mid,spread_bps,trend_bps_per_sec,trend_angle_deg,bid_pressure_total_usd,ask_pressure_total_usd,pressure_imbalance,strongest_bid_usd,strongest_bid_dist_usd,strongest_ask_usd,strongest_ask_dist_usd,bid_p_0_10,bid_p_10_25,bid_p_25_50,bid_p_50_100,bid_p_100_200,ask_p_0_10,ask_p_10_25,ask_p_25_50,ask_p_50_100,ask_p_100_200,burst_count_3s,burst_buy_usd_3s,burst_sell_usd_3s,burst_imbalance_3s,target_ok_long,target_ok_short,pressure_ok_long,pressure_ok_short,in_long_hint,in_short_hint
1771599769576,67628.50,0.1479,-0.082876,-4.7376,2466860.47,976218.36,0.432939,721457.52,18.50,371824.92,0.50,334873.90,2131986.57,0.00,0.00,0.00,530060.43,446157.93,0.00,0.00,0.00,161,1146239.60,186147.37,0.720581,0,0,1,0,0,0
1771599770173,67632.50,0.1479,-0.116865,-6.6657,9219771.86,1006732.47,0.803113,2184811.65,3.50,138123.37,47.50,7257732.03,1962039.83,0.00,0.00,0.00,1202.52,1020.81,874754.97,129754.18,0.00,212,1120151.86,4182248.08,-0.577493,1,0,1,0,0,0
1771599770780,67642.50,0.1478,-0.152080,-8.6473,4743002.22,2104252.73,0.385373,610795.28,19.50,600002.89,28.50,3084197.36,1658804.86,0.00,0.00,0.00,78654.64,1199053.00,826545.09,0.00,0.00,206,1114389.48,4172121.69,-0.578403,1,0,1,0,0,0
1771599771878,67628.50,0.1479,-0.190180,-10.7679,2860927.21,554400.07,0.675346,602834.28,50.50,172002.48,19.50,11615.11,213974.38,1877503.95,757833.77,0.00,24476.56,529923.51,0.00,0.00,0.00,268,21411.96,11655973.19,-0.996333,0,1,1,0,0,0
1771599772399,67628.50,0.1479,-0.228612,-12.8772,4312190.96,3374430.59,0.121999,1270394.86,40.50,660341.60,18.50,13525.60,469601.74,3321918.44,507145.18,0.00,551988.23,2822442.36,0.00,0.00,0.00,361,49783.07,12497271.17,-0.992065,0,1,1,0,0,0
1771599772903,67628.50,0.1479,-0.266979,-14.9481,13766.32,7186086.08,-0.996176,13537.10,0.50,2405683.91,0.50,13640.56,125.76,0.00,0.00,0.00,4131197.08,2814862.08,240026.92,0.00,0.00,302,46560.55,8499786.34,-0.989104,0,0,0,1,0,0
1771599773571,67607.50,0.4437,-0.306772,-17.0545,2729694.03,11387879.86,-0.613291,1075783.19,32.50,2628739.33,1.50,14109.37,661354.91,2054229.76,0.00,0.00,3086776.23,8301103.63,0.00,0.00,0.00,328,46086.43,8515303.19,-0.989234,0,1,0,1,0,1
1771599774112,67594.50,0.1479,-0.345996,-19.0854,1713757.46,6947945.47,-0.604291,664333.24,37.50,1950269.72,13.50,9067.73,718.97,1703970.76,0.00,0.00,2451267.67,4496677.80,0.00,0.00,0.00,307,103790.43,8458631.78,-0.975757,0,1,0,1,0,1
1771599774634,67594.50,0.1479,-0.382979,-20.9558,1041642.68,9889176.54,-0.809412,479833.41,34.50,4123309.87,0.50,22478.94,257.48,1018906.26,0.00,0.00,5931299.87,3957876.67,0.00,0.00,0.00,310,104252.10,8459549.03,-0.975653,0,1,0,1,0,1
1771599775135,67587.50,0.1480,-0.421765,-22.8683,1148886.28,11390179.73,-0.816751,494649.11,19.50,2076331.75,0.50,552.15,1148334.13,0.00,0.00,0.00,8964255.77,2425923.95,0.00,0.00,0.00,91,74032.42,48828.71,0.205140,0,0,0,1,0,0
1771599775670,67580.50,0.1480,-0.461494,-24.7730,3884368.61,1971649.82,0.326624,698251.41,7.50,218931.33,5.50,1708834.43,2175534.19,0.00,0.00,0.00,1451786.18,519863.64,0.00,0.00,0.00,101,76376.08,39154.80,0.322176,0,0,1,0,0,0
1771599776183,67608.50,0.4437,-0.497528,-26.4516,2711073.19,4163516.41,-0.211277,572110.79,20.50,860600.17,24.50,254057.49,2457015.70,0.00,0.00,0.00,642958.80,2790230.49,730327.12,0.00,0.00,139,752371.28,40736.42,0.897274,1,1,0,1,0,1
1771599776704,67607.50,0.1479,-0.527694,-27.8204,254820.02,6336792.15,-0.922684,68854.25,22.50,1730296.95,0.50,101923.64,152896.38,0.00,0.00,0.00,2583058.36,2712830.46,1040903.33,0.00,0.00,115,752371.28,31817.35,0.918853,0,1,0,1,0,1
1771599777241,67590.50,0.4438,-0.556521,-29.0969,3860638.07,9894514.83,-0.438663,1192349.76,19.50,1344187.39,16.50,567792.31,2583624.59,709221.17,0.00,0.00,3177362.25,6717152.58,0.00,0.00,0.00,147,691279.52,422525.53,0.241294,0,0,0,1,0,0
1771599777747,67601.00,1.4793,-0.584373,-30.3009,10519365.10,4370267.96,0.412978,2569740.37,9.00,2431476.93,28.00,5525241.34,3409368.11,1584755.65,0.00,0.00,17152.53,969963.77,3383151.67,0.00,0.00,312,691031.37,2012604.30,-0.488813,1,0,1,0,0,0
1771599778339,67604.50,0.4438,-0.609177,-31.3488,243417.10,5554183.97,-0.916028,41508.61,7.50,915394.93,15.50,185498.90,55480.11,2438.08,0.00,0.00,2102000.52,3452183.45,0.00,0.00,0.00,322,693763.20,2027044.06,-0.490031,0,0,0,1,0,0
1771599778857,67592.00,0.8877,-0.631557,-32.2747,886663.28,12478191.54,-0.867314,273690.30,37.00,1948168.77,4.00,368.34,1943.97,884350.97,0.00,0.00,6339784.63,6138406.92,0.00,0.00,0.00,362,1673751.69,2026562.87,-0.095346,0,1,0,1,0,1
1771599779394,67588.50,0.1480,-0.652112,-33.1088,1393524.32,7392983.42,-0.682804,832088.55,28.50,1780628.81,1.50,9214.95,279820.45,1104488.91,0.00,0.00,4617847.15,2775136.27,0.00,0.00,0.00,321,999256.98,2018275.92,-0.337699,0,1,0,1,0,1
1771599779967,67553.50,0.1480,-0.678121,-34.1420,3473788.74,3775180.03,-0.041577,877197.10,19.50,1035897.26,20.50,324883.29,3148905.46,0.00,0.00,0.00,592930.70,3182249.32,0.00,0.00,0.00,348,1027622.21,2057185.83,-0.333753,1,0,0,0,0,0
1771599780596,67563.50,0.1480,-0.708594,-35.3212,924624.50,3685823.87,-0.598900,120384.85,10.50,632278.22,12.50,785323.95,139300.54,0.00,0.00,0.00,610228.98,3075594.89,0.00,0.00,0.00,406,3879083.86,1765790.16,0.374374,0,0,0,1,0,0
1771599781602,67546.00,0.8883,-0.741577,-36.5598,1176649.96,12453486.23,-0.827346,595498.73,41.00,3599016.83,17.00,76639.64,9443.02,1090567.31,0.00,0.00,729761.58,11723724.65,0.00,0.00,0.00,253,3888639.10,206927.90,0.898950,0,1,0,1,0,1
1771599782141,67541.50,0.1481,-0.775219,-37.7835,2071382.39,8776396.78,-0.618100,610948.88,35.50,1553150.37,19.50,112.79,1313.29,2069956.30,0.00,0.00,4996001.30,3780395.48,0.00,0.00,0.00,210,3014785.71,206927.89,0.871542,0,1,0,1,0,1
1771599782680,67533.50,0.1481,-0.812722,-39.1015,3235882.79,4502930.00,-0.163726,1524034.34,11.50,987083.10,8.50,24534.74,3211348.05,0.00,0.00,0.00,3968318.13,534611.87,0.00,0.00,0.00,225,3014184.76,207961.83,0.870917,0,0,0,1,0,0
1771599783220,67539.50,0.1481,-0.849684,-40.3540,3860361.31,2703892.09,0.176177,1948923.86,5.50,706190.96,13.50,3828836.31,31525.00,0.00,0.00,0.00,581164.60,2122727.49,0.00,0.00,0.00,200,2986731.12,170449.83,0.892024,0,0,1,0,0,0
1771599783752,67546.50,0.1480,-0.885996,-41.5408,5229822.70,2537954.11,0.346543,3350208.91,6.50,341216.57,9.50,4299973.62,929849.08,0.00,0.00,0.00,914427.46,1623526.65,0.00,0.00,0.00,119,134145.30,17698.30,0.766888,0,0,1,0,0,0
1771599784252,67546.50,0.1480,-0.922275,-42.6846,246056.42,3483105.74,-0.868037,145577.17,0.50,828256.73,8.50,184690.25,22740.10,38626.06,0.00,0.00,1764340.09,1718765.65,0.00,0.00,0.00,99,67580.28,22571.68,0.499253,0,0,0,1,0,0
